Temperature (°C),d07 (cm),t07 (us)
23,9,933
23,9,929
23,9,929
23,9,931
23,9,929
23,9,928
23,9,930
23,9,929
23,9,927
23,9,930
23,9,931
23,9,931
23,9,932
23,9,930
23,9,927
23,9,928
23,9,929
23,9,927
23,9,932
23,9,931
23,9,929
23,9,929
23,9,926
23,9,927
23,9,930
23,9,930
23,9,927
23,9,930
23,9,928
23,9,928
23,9,928
23,9,930
23,9,930
23,9,930
23,9,927
23,9,928
23,9,927
23,9,933
23,9,932
23,9,929
23,9,930
23,9,931
23,9,929
23,9,928
23,9,928
23,9,927
23,9,931
23,9,930
23,9,930
23,9,929
23,9,931
23,9,929
23,9,927
23,9,927
23,9,928
23,9,929
23,9,928
23,9,931
23,9,929
23,9,928
23,9,930
23,9,928
23,9,931
23,9,927
23,9,927
23,9,929
23,9,933
23,9,931
23,9,928
23,9,928
23,9,927
23,9,931
23,9,928
23,9,928
23,9,927
23,9,929
23,9,933
23,9,928
23,9,927
23,9,932
23,9,931
23,9,930
23,9,931
23,9,928
23,9,930
23,9,932
23,9,930
23,9,930
23,9,926
23,9,930
23,9,927
23,9,928
23,9,929
23,9,930
23,9,931
23,9,933
23,9,927
23,9,927
23,9,931
23,9,928
23,9,930
23,9,928
23,9,927
23,9,928
23,9,929
23,9,927
23,9,932
23,9,928
23,9,929
23,9,932
23,9,927
23,9,930
23,9,927
23,9,927
23,9,930
23,9,930
23,9,927
23,9,927
23,9,928
23,9,932
23,9,929
23,9,931
23,9,927
23,9,926
23,9,930
23,9,931
23,9,930
23,9,931
23,9,929
23,9,931
23,9,926
23,9,932
23,9,927
23,9,930
23,9,930
23,9,931
23,9,927
23,9,927
23,9,930
23,9,928
23,9,929
23,9,930
23,9,930
23,9,932
23,9,930
23,9,928
23,9,930
23,9,931
23,9,930
23,9,926
23,9,931
23,9,927
23,9,929
23,9,931
23,9,931
23,9,927
23,9,928
23,9,926
23,9,929
23,9,928
23,9,931
23,9,931
23,9,929
23,9,929
23,9,929
23,9,929
23,9,930
23,9,927
23,9,928
23,9,928
23,9,928
23,9,932
23,9,932
23,9,928
23,9,929
23,9,927
23,9,930
23,9,928
23,9,929
23,9,927
23,9,927
23,9,929
23,9,927
23,9,930
23,9,926
23,9,928
23,9,927
23,9,929
23,9,930
23,9,932
23,9,927
23,9,928
23,9,927
23,9,926
23,9,929
23,9,933
23,9,929
23,9,933
23,9,929
23,9,931
23,9,930
23,9,931
23,9,927
23,9,927
23,9,930
23,9,927
23,9,928
23,9,932
23,9,932
23,9,927
23,9,931
23,9,930
23,9,927
23,9,931
23,9,930
23,9,930
23,9,929
23,9,930
23,9,928
23,9,932
23,9,931
23,9,928
23,9,928
23,9,927
23,9,930
23,9,927
23,9,929
23,9,930
23,9,934
23,9,931
23,9,927
23,9,928
23,9,930
23,9,927
23,9,930
23,9,890
23,9,892
23,9,929
23,9,927
23,9,930
23,9,895
23,9,928
23,9,892
23,9,883
23,9,932
23,9,926
23,9,929
23,9,928
23,9,929
23,9,927
23,9,931
23,9,926
23,9,932
23,9,933
23,9,930
23,9,929
23,9,927
23,9,931
23,9,930
23,9,929
23,9,927
23,9,932
23,9,929
23,9,929
23,9,932
23,9,928
23,9,929
23,9,930
23,9,929
23,9,927
23,9,929
23,9,927
23,9,926
23,9,928
23,9,930
23,9,932
23,9,927
23,9,927
23,9,930
23,9,930
23,9,930
23,9,931
23,9,926
23,9,932
23,9,928
23,9,929
23,9,932
23,9,928
23,9,932
23,9,927
23,9,927
23,9,930
23,9,928
23,9,930
23,9,929
23,9,929
23,9,931
23,9,930
23,9,928
23,9,929
23,9,927
23,9,931
23,9,928
23,9,931
23,9,927
23,9,929
23,9,930
23,9,931
23,9,927
23,9,932
23,9,931
23,9,930
23,9,926
23,9,931
23,9,928
23,9,928
23,9,930
23,9,927
23,9,931
23,9,928
23,9,928
23,9,931
23,9,931
23,9,931
23,9,928
23,9,928
23,9,929
23,9,932
23,9,926
23,9,927
23,9,931
23,9,931
23,9,929
23,9,929
23,9,927
23,9,930
23,9,926
23,9,930
23,9,930
23,9,930
23,9,931
23,9,928
23,9,928
23,9,929
23,9,926
23,9,932
23,9,927
23,9,928
23,9,927
23,9,928
23,9,929
23,9,929
23,9,931
23,9,928
23,9,932
23,9,931
23,9,932
23,9,932
23,9,928
23,9,931
23,9,928
23,9,929
23,9,931
23,9,930
23,9,931
23,9,926
23,9,932
23,9,930
23,9,926
23,9,931
23,9,929
23,9,929
23,9,929
23,9,926
23,9,932
23,9,928
23,9,931
23,9,930
23,9,929
23,9,930
23,9,928
23,9,930
23,9,929
23,9,930
23,9,933
23,9,933
23,9,930
23,9,929
23,9,928
23,9,928
23,9,928
23,9,930
23,9,931
23,9,928
23,9,928
23,9,926
23,9,928
23,9,927
23,9,930
23,9,931
23,9,926
23,9,930
23,9,930
23,9,930
23,9,933
23,9,929
23,9,927
23,9,931
23,9,927
23,9,929
23,9,930
23,9,927
23,9,931
23,9,927
23,9,931
23,9,927
23,9,931
23,9,930
23,9,927
23,9,930
23,9,931
23,9,932
23,9,930
23,9,929
23,9,927
23,9,930
23,9,928
23,9,929
23,9,929
23,9,927
23,9,929
23,9,928
23,9,183
23,9,279
23,9,883
23,9,795
23,9,888
23,9,929
23,9,929
23,9,927
23,9,931
23,9,928
23,9,932
23,9,933
23,9,926
23,9,931
23,9,927
23,9,929
23,9,928
23,9,931
23,9,928
23,9,928
23,9,927
23,9,929
23,9,927
23,9,929
23,9,931
23,9,930
23,9,932
23,9,930
23,9,930
23,9,929
23,9,931
23,9,930
23,9,926
23,9,928
23,9,930
23,9,931
23,9,930
23,9,928
23,9,930
23,9,928
23,9,929
23,9,929
23,9,928
23,9,929
23,9,928
23,9,926
23,9,930
23,9,933
23,9,929
23,9,927
23,9,930
23,9,929
23,9,930
23,9,931
23,9,931
23,9,927
23,9,929
23,9,930
23,9,927
23,9,929
23,9,927
23,9,929
23,9,930
23,9,931
23,9,929
23,9,932
23,9,929
23,9,927
23,9,930
23,9,928
23,9,927
23,9,927
23,9,931
23,9,929
23,9,930
23,9,927
23,9,930
23,9,929
23,9,927
23,9,929
23,9,929
23,9,927
23,9,929
23,9,930
23,9,928
23,9,929
23,9,930
23,9,929
23,9,930
23,9,931
23,9,930
23,9,927
23,9,927
23,9,929
23,9,932
23,9,931
23,9,929
23,9,928
23,9,930
23,9,930
23,9,927
23,9,932
23,9,933
23,9,930
23,9,929
23,9,928
23,9,927
23,9,927
23,9,927
23,9,928
23,9,929
23,9,929
23,9,933
23,9,927
23,9,929
23,9,928
23,9,929
23,9,930
23,9,931
23,9,932
23,9,929
23,9,929
23,9,930
23,9,929
23,9,928
23,9,928
23,9,930
23,9,928
23,9,931
23,9,928
23,9,930
23,9,930
23,9,932
23,9,929
23,9,931
23,9,928
23,9,926
23,9,931
23,9,927
23,9,927
23,9,932
23,9,932
23,9,929
23,9,931
23,9,927
23,9,931
23,9,930
23,9,932
23,9,929
23,9,928
23,9,927
23,9,930
23,9,931
23,9,928
23,9,926
23,9,928
23,9,928
23,9,930
23,9,931
23,9,933
23,9,927
23,9,930
23,9,927
23,9,929
23,9,929
23,9,927
23,9,930
23,9,932
23,9,931
23,9,928
23,9,928
23,9,930
23,9,928
23,9,930
23,9,930
23,9,928
23,9,930
23,9,930
23,9,933
23,9,931
23,9,931
23,9,929
23,9,931
23,9,929
23,9,929
23,9,928
23,9,933
23,9,931
23,9,929
23,9,931
23,9,930
23,9,931
23,9,926
23,9,928
23,9,930
23,9,929
23,9,928
23,9,927
23,9,929
23,9,931
23,9,928
23,9,927
23,9,931
23,9,929
23,9,933
23,9,932
23,9,930
23,9,928
23,9,931
23,9,929
23,9,929
23,9,927
23,9,929
23,9,927
23,9,927
23,9,928
23,9,929
23,9,929
23,9,931
23,9,930
23,9,927
23,9,932
23,9,931
23,9,927
23,9,929
23,9,929
23,9,927
23,9,929
23,9,931
23,9,931
23,9,928
23,9,931
23,9,928
23,9,927
23,9,927
23,9,930
23,9,927
23,9,927
23,9,928
23,9,930
23,9,928
23,9,930
23,9,930
23,9,928
23,9,929
23,9,932
23,9,929
23,9,930
23,9,927
23,9,929
23,9,930
23,9,929
23,9,927
23,9,928
23,9,931
23,9,928
23,9,927
23,9,929
23,9,928
23,9,929
23,9,927
23,9,929
23,9,932
23,9,929
23,9,930
23,9,932
23,9,930
23,9,933
23,9,927
23,9,927
23,9,928
23,9,929
23,9,930
23,9,930
23,9,928
23,9,927
23,9,928
23,9,929
23,9,928
23,9,931
23,9,930
