Temperature (°C),d12 (cm),t12 (us)
23,14,1072
23,14,1071
23,14,1075
23,14,1074
23,14,1073
23,14,1070
23,14,1075
23,14,1070
23,14,1073
23,14,1071
23,14,1070
23,14,1074
23,14,1073
23,14,1076
23,14,1070
23,14,1072
23,14,1075
23,14,1071
23,14,1075
23,14,1071
23,14,1069
23,14,1071
23,14,1070
23,14,1072
23,14,1070
23,14,1072
23,14,1074
23,14,1074
23,14,1077
23,14,1069
23,14,1073
23,14,1071
23,14,1074
23,14,1075
23,14,1072
23,14,1070
23,14,1070
23,14,1073
23,14,1071
23,14,1071
23,14,1071
23,14,1074
23,14,1070
23,14,1071
23,14,1074
23,14,1075
23,14,1070
23,14,1074
23,14,1073
23,14,1071
23,14,1073
23,14,1074
23,14,1071
23,14,1070
23,14,1071
23,14,1072
23,14,1074
23,14,1073
23,14,1072
23,14,1074
23,14,1070
23,14,1073
23,14,1071
23,14,1073
23,14,1073
23,14,1075
23,14,1075
23,14,1075
23,14,1073
23,14,1071
23,14,1070
23,14,1073
23,14,1075
23,14,1074
23,14,1075
23,14,1074
23,14,1072
23,14,1073
23,14,1074
23,14,1072
23,14,1075
23,14,1071
23,14,1073
23,14,1069
23,14,1070
23,14,1074
23,14,1073
23,14,1070
23,14,1070
23,14,1073
23,14,1074
23,14,1073
23,14,1073
23,14,1073
23,14,1073
23,14,1074
23,14,1072
23,14,1071
23,14,1071
23,14,1071
23,14,1070
23,14,1071
23,14,1073
23,14,1073
23,14,1072
23,14,1072
23,14,1073
23,14,1071
23,14,1075
23,14,1070
23,14,1074
23,14,1071
23,14,1073
23,14,1071
23,14,1075
23,14,1075
23,14,1071
23,14,1072
23,14,1071
23,14,1073
23,14,1072
23,14,1073
23,14,1071
23,14,1069
23,14,1070
23,14,1071
23,14,1071
23,14,1074
23,14,1074
23,14,1073
23,14,1072
23,14,1074
23,14,1074
23,14,1073
23,14,1072
23,14,1069
23,14,1070
23,14,1071
23,14,1074
23,14,1074
23,14,1073
23,14,1074
23,14,1069
23,14,1070
23,14,1075
23,14,1073
23,14,1076
23,14,1073
23,14,1073
23,14,1072
23,14,1074
23,14,1069
23,14,1073
23,14,1071
23,14,1073
23,14,1072
23,14,1075
23,14,1072
23,14,1073
23,14,1070
23,14,1074
23,14,1072
23,14,1070
23,14,1072
23,14,1072
23,14,1069
23,14,1074
23,14,1073
23,14,1073
23,14,1071
23,14,1074
23,14,1072
23,14,1071
23,14,1072
23,14,1075
23,14,1072
23,14,1073
23,14,1074
23,14,1070
23,14,1074
23,14,1074
23,14,1069
23,14,1074
23,14,1074
23,14,1073
23,14,1076
23,14,1072
23,14,1076
23,14,1074
23,14,1072
23,14,1072
23,14,1075
23,14,1073
23,14,1070
23,14,1073
23,14,1071
23,14,1070
23,14,1074
23,14,1073
23,14,1071
23,14,1072
23,14,1073
23,14,1074
23,14,1071
23,14,1076
23,14,1072
23,14,1072
23,14,1072
23,14,1073
23,14,1073
23,14,1072
23,14,1073
23,14,1072
23,14,1071
23,14,1073
23,14,1076
23,14,1073
23,14,1071
23,14,1072
23,14,1071
23,14,1070
23,14,1072
23,14,1073
23,14,1071
23,14,1071
23,14,1075
23,14,1071
23,14,1071
23,14,1076
23,14,1070
23,14,1073
23,14,1072
23,14,1073
23,14,1073
23,14,1073
23,14,1072
23,14,1069
23,14,1074
23,14,1071
23,14,1073
23,14,1070
23,14,1074
23,14,1072
23,14,1071
23,14,1073
23,14,1072
23,14,1072
23,14,1069
23,14,1070
23,14,1071
23,14,1073
23,14,1071
23,14,1072
23,14,1071
23,14,1073
23,14,1071
23,14,1073
23,14,1070
23,14,1072
23,14,1071
23,14,1072
23,14,1073
23,14,1071
23,14,1070
23,14,1073
23,14,1072
23,14,1075
23,14,1072
23,14,1070
23,14,1076
23,14,1075
23,14,1073
23,14,1075
23,14,1071
23,14,1074
23,14,1073
23,14,1071
23,14,1071
23,14,1073
23,14,1072
23,14,1072
23,14,1074
23,14,1074
23,14,1071
23,14,1074
23,14,1070
23,14,1074
23,14,1071
23,14,1074
23,14,1073
23,14,1071
23,14,1071
23,14,1076
23,14,1070
23,14,1072
23,14,1070
23,14,1075
23,14,1073
23,14,1073
23,14,1074
23,14,1074
23,14,1073
23,14,1074
23,14,1073
23,14,1071
23,14,1075
23,14,1072
23,14,1074
23,14,1072
23,14,1072
23,14,1071
23,14,1071
23,14,1071
23,14,1073
23,14,1071
23,14,1072
23,14,1073
23,14,1071
23,14,1073
23,14,1072
23,14,1076
23,14,1072
23,14,1076
23,14,1073
23,14,1074
23,14,1073
23,14,1073
23,14,1072
23,14,1071
23,14,1070
23,14,1070
23,14,1074
23,14,1072
23,14,1075
23,14,1072
23,14,1072
23,14,1069
23,14,1074
23,14,1071
23,14,1074
23,14,1073
23,14,1071
23,14,1074
23,14,1074
23,14,1073
23,14,1073
23,14,1070
23,14,1076
23,14,1069
23,14,1074
23,14,1072
23,14,1073
23,14,1073
23,14,1074
23,14,1076
23,14,1071
23,14,1073
23,14,1073
23,14,1076
23,14,1071
23,14,1071
23,14,1070
23,14,1072
23,14,1069
23,14,1074
23,14,1071
23,14,1070
23,14,1070
23,14,1074
23,14,1073
23,14,1072
23,14,1075
23,14,1072
23,14,1070
23,14,1073
23,14,1073
23,14,1071
23,14,1071
23,14,1073
23,14,1072
23,14,1074
23,14,1071
23,14,1073
23,14,1071
23,14,1074
23,14,1070
23,14,1074
23,14,1070
23,14,1073
23,14,1074
23,14,1070
23,14,1072
23,14,1071
23,14,1073
23,14,1074
23,14,1074
23,14,1074
23,14,1070
23,14,1073
23,14,1069
23,14,1073
23,14,1070
23,14,1070
23,14,1071
23,14,1073
23,14,1071
23,14,1073
23,14,1071
23,14,1073
23,14,1074
23,14,1074
23,14,1071
23,14,1073
23,14,1074
23,14,1073
23,14,1074
23,14,1073
23,14,1071
23,14,1074
23,14,1074
23,14,1073
23,14,1072
23,14,1075
23,14,1072
23,14,1071
23,14,1070
23,14,1071
23,14,1070
23,14,1076
23,14,1071
23,14,1071
23,14,1072
23,14,1069
23,14,1074
23,14,1071
23,14,1070
23,14,1074
23,14,1075
23,14,1074
23,14,1074
23,14,1075
23,14,1074
23,14,1072
23,14,1070
23,14,1073
23,14,1074
23,14,1072
23,14,1072
23,14,1072
23,14,1069
23,14,1071
23,14,1073
23,14,1074
23,14,1074
23,14,1073
23,14,1070
23,14,1072
23,14,1069
23,14,1070
23,14,1071
23,14,1070
23,14,1074
23,14,1070
23,14,1071
23,14,1073
23,14,1073
23,14,1071
23,14,1077
23,14,1074
23,14,1073
23,14,1072
23,14,1073
23,14,1074
23,14,1071
23,14,1071
23,14,1072
23,14,1070
23,14,1073
23,14,1071
23,14,1070
23,14,1074
23,14,1073
23,14,1072
23,14,1070
23,14,1074
23,14,1073
23,14,1076
23,14,1074
23,14,1071
23,14,1070
23,14,1073
23,14,1070
23,14,1073
23,14,1073
23,14,1073
23,14,1073
23,14,1072
23,14,1074
23,14,1069
23,14,1076
23,14,1072
23,14,1075
23,14,1070
23,14,1072
23,14,1074
23,14,1070
23,14,1074
23,14,1070
23,14,1074
23,14,1071
23,14,1071
23,14,1072
23,14,1074
23,14,1071
23,14,1070
23,14,1072
23,14,1071
23,14,1071
23,14,1072
23,14,1070
23,14,1076
23,14,1073
23,14,1074
23,14,1073
23,14,1072
23,14,1074
23,14,1073
23,14,1074
23,14,1073
23,14,1071
23,14,1071
23,14,1072
23,14,1075
23,14,1074
23,14,1073
23,14,1072
23,14,1072
23,14,1075
23,14,1074
23,14,1073
23,14,1074
23,14,1071
23,14,1071
23,14,1070
23,14,1073
23,14,1075
23,14,1073
23,14,1071
23,14,1073
23,14,1071
23,14,1071
23,14,1070
23,14,1076
23,14,1071
23,14,1073
23,14,1070
23,14,1070
23,14,1074
23,14,1075
23,14,1072
23,14,1074
23,14,1074
23,14,1074
23,14,1072
23,14,1070
23,14,1070
23,14,1073
23,14,1070
23,14,1074
23,14,1072
23,14,1071
23,14,1073
23,14,1075
23,14,1074
23,14,1075
23,14,1071
23,14,1073
23,14,1074
23,14,1074
23,14,1074
23,14,1072
23,14,1072
23,14,1073
23,14,1072
23,14,1076
23,14,1070
23,14,1074
23,14,1074
23,14,1070
23,14,1074
23,14,1071
23,14,1074
23,14,1071
23,14,1072
23,14,1073
23,14,1070
23,14,1073
23,14,1070
23,14,1071
23,14,1070
23,14,1069
23,14,1072
23,14,1071
23,14,1071
23,14,1072
23,14,1071
23,14,1074
23,14,1074
23,14,1072
23,14,1076
23,14,1075
23,14,1071
23,14,1070
23,14,1073
23,14,1072
23,14,1070
23,14,1072
23,14,1073
23,14,1075
23,14,1074
23,14,1072
23,14,1073
23,14,1071
23,14,1075
23,14,1072
23,14,1073
23,14,1072
23,14,1070
23,14,1071
23,14,1073
23,14,1073
23,14,1070
23,14,1071
23,14,1072
23,14,1073
23,14,1073
23,14,1071
23,14,1071
23,14,1071
23,14,1072
23,14,1069
23,14,1071
23,14,1071
23,14,1073
23,14,1071
23,14,1073
23,14,1074
23,14,1071
23,14,1075
23,14,1070
23,14,1074
23,14,1075
23,14,1076
23,14,1071
23,14,1075
23,14,1072
23,14,1072
23,14,1070
23,14,1071
23,14,1071
23,14,1070
23,14,1073
23,14,1074
23,14,1074
23,14,1072
23,14,1076
23,14,1075
23,14,1072
23,14,1069
23,14,1070
23,14,1071
23,14,1071
23,14,1074
23,14,1073
23,14,1074
23,14,1071
23,14,1075
23,14,1071
23,14,1075
23,14,1074
23,14,1072
23,14,1072
23,14,1072
23,14,1071
23,14,1074
23,14,1074
23,14,1072
23,14,1070
23,14,1071
23,14,1069
23,14,1072
23,14,1071
23,14,1072
23,14,1073
23,14,1074
23,14,1076
23,14,1071
23,14,1074
23,14,1073
23,14,1075
23,14,1070
23,14,1071
23,14,1075
23,14,1070
23,14,1075
23,14,1072
23,14,1070
23,14,1072
23,14,1074
23,14,1073
23,14,1074
23,14,1074
23,14,1071
23,14,1073
23,14,1074
23,14,1074
23,14,1073
23,14,1074
23,14,1070
23,14,1073
23,14,1074
23,14,1075
23,14,1070
23,14,1072
23,14,1071
23,14,1071
23,14,1075
23,14,1075
23,14,1072
23,14,1070
23,14,1070
23,14,1070
23,14,1073
23,14,1073
23,14,1072
23,14,1071
23,14,1073
23,14,1073
23,14,1071
23,14,1074
23,14,1074
23,14,1071
23,14,1071
23,14,1070
23,14,1074
23,14,1073
23,14,1071
23,14,1076
23,14,1072
23,14,1075
23,14,1074
23,14,1071
23,14,1073
23,14,1071
23,14,1074
23,14,1071
23,14,1071
23,14,1075
23,14,1072
23,14,1073
23,14,1072
23,14,1073
23,14,1071
23,14,1074
23,14,1076
23,14,1070
23,14,1073
23,14,1070
23,14,1071
23,14,1071
23,14,1075
23,14,1069
23,14,1074
23,14,1071
23,14,1071
23,14,1075
23,14,1072
23,14,1073
23,14,1070
23,14,1071
23,14,1073
23,14,1072
23,14,1069
23,14,1071
23,14,1072
23,14,1071
23,14,1071
23,14,1075
23,14,1073
23,14,1074
23,14,1071
23,14,1070
23,14,1071
23,14,1074
23,14,1073
23,14,1071
23,14,1074
23,14,1074
23,14,1073
23,14,1072
23,14,1070
23,14,1073
23,14,1077
23,14,1072
23,14,1074
23,14,1073
23,14,1076
23,14,1074
23,14,1070
23,14,1076
23,14,1071
23,14,1073
23,14,1073
23,14,1073
23,14,1074
23,14,1071
23,14,1072
23,14,1075
23,14,1071
23,14,1074
23,14,1077
23,14,1073
23,14,1074
23,14,1075
23,14,1076
23,14,1072
23,14,1073
23,14,1071
23,14,1073
23,14,1073
23,14,1071
23,14,1071
23,14,1072
23,14,1071
23,14,1070
23,14,1072
23,14,1073
23,14,1074
23,14,1074
23,14,1076
23,14,1069
23,14,1075
23,14,1072
