Temperature (°C),d20 (cm),t20 (us)
23,22,1309
23,22,1309
23,22,1305
23,22,1306
23,22,1305
23,22,1304
23,22,1303
23,22,1306
23,22,1304
23,22,1305
23,22,1305
23,22,1307
23,22,1307
23,22,1304
23,22,1307
23,22,1305
23,22,1305
23,22,1309
23,22,1307
23,22,1305
23,22,1305
23,22,1307
23,22,1305
23,22,1303
23,22,1307
23,22,1307
23,22,1306
23,22,1309
23,22,1305
23,22,1304
23,22,1303
23,22,1308
23,22,1306
23,22,1308
23,22,1309
23,22,1303
23,22,1306
23,22,1306
23,22,1305
23,22,1307
23,22,1306
23,22,1303
23,22,1309
23,22,1305
23,22,1303
23,22,1307
23,22,1304
23,22,1304
23,22,1303
23,22,1303
23,22,1306
23,22,1306
23,22,1307
23,22,1309
23,22,1306
23,22,1305
23,22,1307
23,22,1306
23,22,1303
23,22,1305
23,22,1308
23,22,1305
23,22,1305
23,22,1307
23,22,1305
23,22,1306
23,22,1305
23,22,1305
23,22,1304
23,22,1305
23,22,1308
23,22,1305
23,22,1304
23,22,1307
23,22,1305
23,22,1307
23,22,1303
23,22,1306
23,22,1307
23,22,1306
23,22,1307
23,22,1307
23,22,1308
23,22,1304
23,22,1304
23,22,1306
23,22,1304
23,22,1306
23,22,1304
23,22,1304
23,22,1303
23,22,1307
23,22,1308
23,22,1304
23,22,1305
23,22,1306
23,22,1305
23,22,1306
23,22,1306
23,22,1306
23,22,1304
23,22,1304
23,22,1305
23,22,1304
23,22,1307
23,22,1303
23,22,1307
23,22,1306
23,22,1306
23,22,1306
23,22,1308
23,22,1305
23,22,1304
23,22,1306
23,22,1307
23,22,1306
23,22,1306
23,22,1307
23,22,1303
23,22,1306
23,22,1307
23,22,1307
23,22,1305
23,22,1305
23,22,1307
23,22,1306
23,22,1304
23,22,1307
23,22,1303
23,22,1307
23,22,1304
23,22,1305
23,22,1306
23,22,1307
23,22,1306
23,22,1303
23,22,1309
23,22,1303
23,22,1303
23,22,1304
23,22,1305
23,22,1306
23,22,1307
23,22,1306
23,22,1306
23,22,1308
23,22,1305
23,22,1307
23,22,1303
23,22,1306
23,22,1306
23,22,1303
23,22,1305
23,22,1306
23,22,1304
23,22,1308
23,22,1309
23,22,1305
23,22,1307
23,22,1304
23,22,1306
23,22,1306
23,22,1308
23,22,1304
23,22,1305
23,22,1307
23,22,1306
23,22,1304
23,22,1308
23,22,1308
23,22,1307
23,22,1304
23,22,1305
23,22,1303
23,22,1309
23,22,1307
23,22,1305
23,22,1306
23,22,1305
23,22,1305
23,22,1308
23,22,1307
23,22,1308
23,22,1308
23,22,1306
23,22,1307
23,22,1304
23,22,1307
23,22,1306
23,22,1305
23,22,1307
23,22,1305
23,22,1306
23,22,1306
23,22,1304
23,22,1307
23,22,1306
23,22,1304
23,22,1306
23,22,1307
23,22,1306
23,22,1308
23,22,1307
23,22,1308
23,22,1305
23,22,1307
23,22,1307
23,22,1305
23,22,1306
23,22,1303
23,22,1307
23,22,1303
23,22,1307
23,22,1306
23,22,1306
23,22,1306
23,22,1308
23,22,1308
23,22,1303
23,22,1305
23,22,1306
23,22,1306
23,22,1304
23,22,1305
23,22,1308
23,22,1303
23,22,1303
23,22,1307
23,22,1305
23,22,1307
23,22,1305
23,22,1307
23,22,1303
23,22,1303
23,22,1305
23,22,1308
23,22,1308
23,22,1308
23,22,1304
23,22,1303
23,22,1306
23,22,1307
23,22,1304
23,22,1303
23,22,1306
23,22,1306
23,22,1308
23,22,1304
23,22,1306
23,22,1304
23,22,1306
23,22,1305
23,22,1303
23,22,1307
23,22,1307
23,22,1305
23,22,1303
23,22,1306
23,22,1306
23,22,1307
23,22,1305
23,22,1308
23,22,1303
23,22,1305
23,22,1303
23,22,1306
23,22,1306
23,22,1303
23,22,1307
23,22,1305
23,22,1306
23,22,1306
23,22,1304
23,22,1306
23,22,1307
23,22,1303
23,22,1306
23,22,1307
23,22,1304
23,22,1303
23,22,1305
23,22,1305
23,22,1306
23,22,1305
23,22,1309
23,22,1309
23,22,1306
23,22,1308
23,22,1305
23,22,1305
23,22,1304
23,22,1307
23,22,1306
23,22,1308
23,22,1306
23,22,1305
23,22,1309
23,22,1303
23,22,1303
23,22,1303
23,22,1304
23,22,1304
23,22,1306
23,22,1306
23,22,1304
23,22,1307
23,22,1306
23,22,1304
23,22,1307
23,22,1305
23,22,1307
23,22,1309
23,22,1307
23,22,1305
23,22,1303
23,22,1304
23,22,1307
23,22,1309
23,22,1307
23,22,1304
23,22,1306
23,22,1304
23,22,1304
23,22,1310
23,22,1305
23,22,1305
23,22,1307
23,22,1305
23,22,1307
23,22,1305
23,22,1304
23,22,1305
23,22,1306
23,22,1306
23,22,1303
23,22,1305
23,22,1309
23,22,1303
23,22,1306
23,22,1307
23,22,1308
23,22,1306
23,22,1306
23,22,1308
23,22,1306
23,22,1306
23,22,1303
23,22,1309
23,22,1305
23,22,1306
23,22,1308
23,22,1310
23,22,1306
23,22,1304
23,22,1308
23,22,1304
23,22,1306
23,22,1305
23,22,1306
23,22,1304
23,22,1303
23,22,1307
23,22,1304
23,22,1306
23,22,1307
23,22,1303
23,22,1306
23,22,1304
23,22,1306
23,22,1308
23,22,1304
23,22,1308
23,22,1306
23,22,1307
23,22,1305
23,22,1306
23,22,1304
23,22,1308
23,22,1305
23,22,1305
23,22,1303
23,22,1305
23,22,1308
23,22,1308
23,22,1306
23,22,1304
23,22,1307
23,22,1306
23,22,1306
23,22,1306
23,22,1306
23,22,1308
23,22,1306
23,22,1306
23,22,1303
23,22,1304
23,22,1306
23,22,1307
23,22,1303
23,22,1305
23,22,1305
23,22,1303
23,22,1303
23,22,1310
23,22,1305
23,22,1307
23,22,1307
23,22,1304
23,22,1304
23,22,1306
23,22,1309
23,22,1304
23,22,1304
23,22,1308
23,22,1307
23,22,1305
23,22,1309
23,22,1307
23,22,1305
23,22,1307
23,22,1309
23,22,1307
23,22,1307
23,22,1304
23,22,1308
23,22,1307
23,22,1303
23,22,1304
23,22,1305
23,22,1304
23,22,1304
23,22,1310
23,22,1303
23,22,1305
23,22,1308
23,22,1306
23,22,1306
23,22,1305
23,22,1307
23,22,1303
23,22,1304
23,22,1305
23,22,1308
23,22,1307
23,22,1307
23,22,1307
23,22,1303
23,22,1304
23,22,1305
23,22,1306
23,22,1306
23,22,1308
23,22,1305
23,22,1308
23,22,1306
23,22,1306
23,22,1304
23,22,1304
23,22,1305
23,22,1305
23,22,1303
23,22,1304
23,22,1303
23,22,1306
23,22,1305
23,22,1307
23,22,1309
23,22,1309
23,22,1305
23,22,1304
23,22,1307
23,22,1303
23,22,1307
23,22,1307
23,22,1303
23,22,1304
23,22,1305
23,22,1306
23,22,1307
23,22,1308
23,22,1308
23,22,1306
23,22,1305
23,22,1308
23,22,1304
23,22,1307
23,22,1307
23,22,1306
23,22,1308
23,22,1306
23,22,1304
23,22,1305
23,22,1306
23,22,1310
23,22,1307
23,22,1307
23,22,1307
23,22,1304
23,22,1305
23,22,1308
23,22,1305
23,22,1304
23,22,1304
23,22,1304
23,22,1308
23,22,1303
23,22,1303
23,22,1307
23,22,1306
23,22,1303
23,22,1303
23,22,1306
23,22,1307
23,22,1308
23,22,1304
23,22,1306
23,22,1306
23,22,1305
23,22,1307
23,22,1306
23,22,1308
23,22,1304
23,22,1306
23,22,1306
23,22,1303
23,22,1305
23,22,1303
23,22,1310
23,22,1310
23,22,1305
23,22,1307
23,22,1305
23,22,1303
23,22,1308
23,22,1308
23,22,1304
23,22,1305
23,22,1307
23,22,1303
23,22,1307
23,22,1305
23,22,1304
23,22,1304
23,22,1308
23,22,1310
23,22,1308
23,22,1307
23,22,1308
23,22,1305
23,22,1303
23,22,1308
23,22,1305
23,22,1308
23,22,1307
23,22,1307
23,22,1306
23,22,1304
23,22,1304
23,22,1305
23,22,1303
23,22,1307
23,22,1305
23,22,1304
23,22,1307
23,22,1306
23,22,1308
23,22,1304
23,22,1306
23,22,1305
23,22,1307
23,22,1306
23,22,1310
23,22,1304
23,22,1307
23,22,1306
23,22,1305
23,22,1305
23,22,1307
23,22,1305
23,22,1303
23,22,1304
23,22,1305
23,22,1304
23,22,1306
23,22,1305
23,22,1304
23,22,1303
23,22,1306
23,22,1306
23,22,1305
23,22,1309
23,22,1304
23,22,1303
23,22,1307
23,22,1307
23,22,1307
23,22,1304
23,22,1305
23,22,1309
23,22,1306
23,22,1305
23,22,1305
23,22,1306
23,22,1307
23,22,1304
23,22,1310
23,22,1306
23,22,1304
23,22,1305
23,22,1307
23,22,1303
23,22,1309
23,22,1307
23,22,1303
23,22,1308
23,22,1307
23,22,1304
23,22,1303
23,22,1304
23,22,1307
23,22,1307
23,22,1306
23,22,1306
23,22,1305
23,22,1304
23,22,1303
23,22,1308
23,22,1308
23,22,1303
23,22,1305
23,22,1304
23,22,1304
23,22,1306
23,22,1306
23,22,1305
23,22,1303
23,22,1307
23,22,1305
23,22,1308
23,22,1305
23,22,1303
23,22,1305
23,22,1305
23,22,1307
23,22,1308
23,22,1305
23,22,1305
23,22,1304
23,22,1305
23,22,1306
23,22,1305
23,22,1303
23,22,1306
23,22,1303
23,22,1307
23,22,1306
23,22,1307
23,22,1306
23,22,1304
23,22,1304
23,22,1305
23,22,1307
23,22,1304
23,22,1304
23,22,1307
23,22,1310
23,22,1309
23,22,1305
23,22,1304
23,22,1304
23,22,1307
23,22,1307
23,22,1305
23,22,1308
23,22,1308
23,22,1307
23,22,1308
23,22,1304
23,22,1306
23,22,1306
23,22,1305
23,22,1307
23,22,1304
23,22,1304
23,22,1307
23,22,1307
23,22,1305
23,22,1305
23,22,1304
23,22,1305
23,22,1307
23,22,1305
23,22,1303
23,22,1308
23,22,1303
23,22,1304
23,22,1308
23,22,1305
23,22,1307
23,22,1308
23,22,1304
23,22,1307
23,22,1306
23,22,1309
23,22,1304
23,22,1308
23,22,1307
23,22,1306
23,22,1307
23,22,1307
23,22,1308
23,22,1306
23,22,1306
23,22,1307
23,22,1305
23,22,1305
23,22,1304
23,22,1304
23,22,1306
23,22,1304
23,22,1303
23,22,1307
23,22,1304
23,22,1304
23,22,1308
23,22,1303
23,22,1308
23,22,1304
23,22,1307
23,22,1308
23,22,1306
23,22,1304
23,22,1305
23,22,1307
23,22,1305
23,22,1304
23,22,1307
23,22,1303
23,22,1303
23,22,1304
23,22,1304
23,22,1305
23,22,1303
23,22,1303
23,22,1306
23,22,1305
23,22,1306
23,22,1308
23,22,1308
23,22,1303
23,22,1306
23,22,1306
23,22,1306
23,22,1307
23,22,1304
23,22,1307
23,22,1307
23,22,1308
23,22,1306
23,22,1305
23,22,1306
23,22,1304
23,22,1310
23,22,1310
23,22,1306
23,22,1307
23,22,1304
23,22,1308
23,22,1302
23,22,1306
23,22,1304
23,22,1308
23,22,1310
23,22,1303
23,22,1306
23,22,1304
23,22,1304
23,22,1304
23,22,1309
23,22,1303
23,22,1303
