Temperature (°C),d06 (cm),t06 (us)
23,8,864
23,8,865
23,8,866
23,8,868
23,8,865
23,8,867
23,8,869
23,8,871
23,8,868
23,8,862
23,8,865
23,8,864
23,8,863
23,8,864
23,8,865
23,8,872
23,8,865
23,8,863
23,8,862
23,8,872
23,8,866
23,8,865
23,8,864
23,8,872
23,8,865
23,8,865
23,8,870
23,8,866
23,8,869
23,8,867
23,8,869
23,8,864
23,8,869
23,8,866
23,8,861
23,8,903
23,8,869
23,8,868
23,8,864
23,8,867
23,8,863
23,8,863
23,8,863
23,8,873
23,8,868
23,8,865
23,8,867
23,8,866
23,8,874
23,8,868
23,8,866
23,8,866
23,8,874
23,8,867
23,8,866
23,8,867
23,8,869
23,8,867
23,8,861
23,8,866
23,8,865
23,8,871
23,8,868
23,8,865
23,8,870
23,8,870
23,8,865
23,8,864
23,8,864
23,8,862
23,8,868
23,8,863
23,8,898
23,8,867
23,8,865
23,8,868
23,8,867
23,8,860
23,8,861
23,8,864
23,8,866
23,8,870
23,8,867
23,8,864
23,8,867
23,8,867
23,8,872
23,8,863
23,8,867
23,8,864
23,8,865
23,8,865
23,8,874
23,8,864
23,8,865
23,8,867
23,8,863
23,8,864
23,8,867
23,8,865
23,8,862
23,8,870
23,8,870
23,8,864
23,8,866
23,8,865
23,8,864
23,8,871
23,8,863
23,8,868
23,8,869
23,8,865
23,8,864
23,8,866
23,8,863
23,8,869
23,8,868
23,8,870
23,8,864
23,8,869
23,8,868
23,8,865
23,8,869
23,8,864
23,8,864
23,8,864
23,8,865
23,8,867
23,8,868
23,8,866
23,8,867
23,8,867
23,8,864
23,8,864
23,8,863
23,8,868
23,8,867
23,8,860
23,8,869
23,8,865
23,8,870
23,8,866
23,8,869
23,8,865
23,8,863
23,8,859
23,8,870
23,8,864
23,8,871
23,8,867
23,8,864
23,8,861
23,8,864
23,8,867
23,8,866
23,8,865
23,8,866
23,8,867
23,8,865
23,8,863
23,8,866
23,8,861
23,8,865
23,8,864
23,8,864
23,8,865
23,8,866
23,8,866
23,8,868
23,8,867
23,8,864
23,8,865
23,8,864
23,8,865
23,8,865
23,8,868
23,8,868
23,8,868
23,8,866
23,8,869
23,8,863
23,8,863
23,8,866
23,8,867
23,8,869
23,8,864
23,8,869
23,8,871
23,8,866
23,8,865
23,8,862
23,8,865
23,8,863
23,8,899
23,8,903
23,8,868
23,8,862
23,8,864
23,8,860
23,8,862
23,8,868
23,8,867
23,8,870
23,8,865
23,8,867
23,8,867
23,8,864
23,8,868
23,8,867
23,8,871
23,8,865
23,8,865
23,8,858
23,8,860
23,8,861
23,8,903
23,8,869
23,8,873
23,8,871
23,8,870
23,8,863
23,8,861
23,8,868
23,8,868
23,8,868
23,8,867
23,8,864
23,8,864
23,8,865
23,8,865
23,8,866
23,8,868
23,8,865
23,8,868
23,8,869
23,8,868
23,8,863
23,8,864
23,8,868
23,8,868
23,8,869
23,8,864
23,8,866
23,8,866
23,8,865
23,8,864
23,8,868
23,8,864
23,8,861
23,8,870
23,8,867
23,8,867
23,8,867
23,8,871
23,8,863
23,8,865
23,8,864
23,8,865
23,8,865
23,8,859
23,8,869
23,8,866
23,8,868
23,8,869
23,8,866
23,8,867
23,8,869
23,8,865
23,8,863
23,8,867
23,8,868
23,8,866
23,8,866
23,8,865
23,8,861
23,8,868
23,8,866
23,8,867
23,8,867
23,8,865
23,8,874
23,8,865
23,8,866
23,8,865
23,8,864
23,8,867
23,8,864
23,8,866
23,8,863
23,8,868
23,8,865
23,8,868
23,8,865
23,8,866
23,8,868
23,8,865
23,8,898
23,8,865
23,8,868
23,8,867
23,8,869
23,8,867
23,8,866
23,8,867
23,8,865
23,8,865
23,8,869
23,8,864
23,8,866
23,8,869
23,8,866
23,8,864
23,8,864
23,8,865
23,8,865
23,8,865
23,8,874
23,8,863
23,8,866
23,8,868
23,8,867
23,8,865
23,8,867
23,8,868
23,8,862
23,8,867
23,8,867
23,8,871
23,8,870
23,8,866
23,8,864
23,8,863
23,8,872
23,8,864
23,8,869
23,8,869
23,8,876
23,8,864
23,8,868
23,8,864
23,8,862
23,8,860
23,8,868
23,8,871
23,8,861
23,8,864
23,8,868
23,8,866
23,8,866
23,8,863
23,8,867
23,8,865
23,8,870
23,8,869
23,8,866
23,8,866
23,8,866
23,8,869
23,8,868
23,8,864
23,8,862
23,8,867
23,8,865
23,8,869
23,8,862
23,8,874
23,8,865
23,8,864
23,8,861
23,8,872
23,8,864
23,8,866
23,8,866
23,8,868
23,8,868
23,8,867
23,8,866
23,8,867
23,8,867
23,8,867
23,8,864
23,8,870
23,8,863
23,8,868
23,8,866
23,8,863
23,8,865
23,8,868
23,8,867
23,8,864
23,8,869
23,8,865
23,8,866
23,8,867
23,8,869
23,8,864
23,8,865
23,8,866
23,8,861
23,8,870
23,8,859
23,8,866
23,8,865
23,8,869
23,8,864
23,8,866
23,8,869
23,8,863
23,8,865
23,8,869
23,8,862
23,8,864
23,8,864
23,8,872
23,8,864
23,8,869
23,8,863
23,8,864
23,8,862
23,8,871
23,8,870
23,8,863
23,8,866
23,8,868
23,8,866
23,8,864
23,8,868
23,8,868
23,8,870
23,8,865
23,8,864
23,8,866
23,8,867
23,8,864
23,8,864
23,8,866
23,8,867
23,8,864
23,8,867
23,8,872
23,8,869
23,8,866
23,8,869
23,8,867
23,8,866
23,8,866
23,8,870
23,8,863
23,8,863
23,8,867
23,8,866
23,8,867
23,8,866
23,8,865
23,8,863
23,8,866
23,8,870
23,8,864
23,8,863
23,8,867
23,8,900
23,8,865
23,8,866
23,8,867
23,8,865
23,8,865
23,8,871
23,8,863
23,8,871
23,8,871
23,8,869
23,8,868
23,8,865
23,8,868
23,8,869
23,8,865
23,8,865
23,8,864
23,8,864
23,8,868
23,8,869
23,8,867
23,8,864
23,8,868
23,8,863
23,8,868
23,8,865
23,8,866
23,8,868
23,8,863
23,8,865
23,8,868
23,8,865
23,8,865
23,8,865
23,8,869
23,8,866
23,8,868
23,8,868
23,8,867
23,8,863
23,8,867
23,8,864
23,8,867
23,8,865
23,8,864
23,8,863
23,8,864
23,8,870
23,8,863
23,8,901
23,8,903
23,8,872
23,8,860
23,8,901
23,8,865
23,8,858
23,8,856
23,8,898
23,8,902
23,8,861
23,8,868
23,8,868
23,8,865
23,8,862
23,8,864
23,8,873
23,8,869
23,8,866
23,8,864
23,8,866
23,8,868
23,8,868
23,8,863
23,8,865
23,8,868
23,8,865
23,8,867
23,8,866
23,8,874
23,8,865
23,8,864
23,8,867
23,8,868
23,8,902
23,8,864
23,8,870
23,8,870
23,8,867
23,8,861
23,8,867
23,8,869
23,8,864
23,8,867
23,8,863
23,8,868
23,8,865
23,8,868
23,8,866
23,8,870
23,8,866
23,8,866
23,8,867
23,8,867
23,8,902
23,8,866
23,8,867
23,8,862
23,8,867
23,8,868
23,8,862
23,8,866
23,8,863
23,8,901
23,8,866
23,8,868
23,8,862
23,8,865
23,8,864
23,8,869
23,8,865
23,8,869
23,8,866
23,8,865
23,8,872
23,8,865
23,8,866
23,8,866
23,8,868
23,8,870
23,8,869
23,8,865
23,8,862
23,8,867
23,8,863
23,8,866
23,8,866
23,8,867
23,8,866
23,8,868
23,8,873
23,8,865
23,8,866
23,8,865
23,8,865
23,8,863
23,8,867
23,8,866
23,8,863
23,8,871
23,8,866
23,8,871
23,8,866
23,8,866
23,8,863
23,8,868
23,8,867
23,8,865
23,8,868
23,8,867
23,8,867
23,8,868
23,8,865
23,8,863
23,8,869
23,8,865
23,8,865
23,8,867
23,8,865
23,8,903
23,8,863
23,8,864
23,8,863
23,8,865
23,8,865
23,8,865
23,8,868
23,8,865
23,8,871
23,8,862
23,8,901
23,8,866
23,8,862
23,8,864
23,8,869
23,8,866
23,8,866
23,8,868
23,8,865
23,8,871
23,8,865
23,8,865
23,8,862
23,8,865
23,8,865
23,8,867
23,8,865
23,8,869
23,8,867
23,8,866
23,8,868
23,8,866
23,8,869
23,8,864
23,8,868
23,8,864
23,8,866
23,8,868
23,8,864
23,8,865
23,8,868
23,8,866
23,8,868
23,8,862
23,8,868
23,8,866
23,8,872
23,8,864
23,8,867
23,8,862
23,8,871
23,8,868
23,8,871
23,8,864
23,8,865
23,8,868
23,8,867
23,8,868
23,8,869
