T5 (°C),d05 (cm),t05 (us)
23,7,838
23,7,837
23,7,830
23,7,837
23,7,834
23,7,834
23,7,835
23,7,832
23,7,833
23,7,832
23,7,839
23,7,833
23,7,838
23,7,833
23,7,839
23,7,835
23,7,838
23,7,837
23,7,835
23,7,833
23,7,835
23,7,837
23,7,834
23,7,837
23,7,837
23,7,836
23,7,831
23,7,834
23,7,834
23,7,842
23,7,834
23,7,826
23,7,831
23,7,833
23,7,839
23,7,839
23,7,834
23,7,833
23,7,828
23,7,833
23,7,837
23,7,834
23,7,830
23,7,833
23,7,836
23,7,835
23,7,839
23,7,832
23,7,869
23,7,869
23,7,831
23,7,834
23,7,835
23,7,835
23,7,834
23,7,841
23,7,836
23,7,835
23,7,827
23,7,833
23,7,828
23,7,838
23,7,834
23,7,836
23,7,837
23,7,836
23,7,838
23,7,832
23,7,835
23,7,833
23,7,832
23,7,834
23,7,836
23,7,831
23,7,837
23,7,838
23,7,833
23,7,840
23,7,834
23,7,831
23,7,841
23,7,872
23,7,835
23,7,835
23,7,838
23,7,841
23,7,835
23,7,838
23,7,836
23,7,836
23,7,829
23,7,833
23,7,835
23,7,843
23,7,833
23,7,841
23,7,836
23,7,843
23,7,838
23,7,835
23,7,831
23,7,832
23,7,842
23,7,837
23,7,834
23,7,830
23,7,838
23,7,838
23,7,838
23,7,837
23,7,841
23,7,838
23,7,842
23,7,844
23,7,836
23,7,832
23,7,837
23,7,831
23,7,832
23,7,827
23,7,833
23,7,832
23,7,838
23,7,838
23,7,838
23,7,836
23,7,834
23,7,845
23,7,831
23,7,834
23,7,835
23,7,837
23,7,838
23,7,840
23,7,833
23,7,837
23,7,837
23,7,835
23,7,833
23,7,831
23,7,836
23,7,840
23,7,841
23,7,840
23,7,832
23,7,831
23,7,838
23,7,840
23,7,839
23,7,835
23,7,835
23,7,834
23,7,836
23,7,839
23,7,839
23,7,835
23,7,835
23,7,838
23,7,839
23,7,836
23,7,835
23,7,837
23,7,838
23,7,831
23,7,840
23,7,835
23,7,837
23,7,835
23,7,835
23,7,830
23,7,837
23,7,835
23,7,844
23,7,834
23,7,835
23,7,833
23,7,839
23,7,829
23,7,827
23,7,831
23,7,839
23,7,840
23,7,835
23,7,833
23,7,835
23,7,834
23,7,827
23,7,831
23,7,829
23,7,832
23,7,832
23,7,835
23,7,839
23,7,846
23,7,837
23,7,834
23,7,838
23,7,842
23,7,835
23,7,834
23,7,836
23,7,840
23,7,837
23,7,836
23,7,833
23,7,835
23,7,828
23,7,830
23,7,838
23,7,831
23,7,838
23,7,831
23,7,836
23,7,842
23,7,838
23,7,845
23,7,835
23,7,832
23,7,832
23,7,836
23,7,834
23,7,839
23,7,839
23,7,833
23,7,830
23,7,835
23,7,833
23,7,826
23,7,837
23,7,840
23,7,840
23,7,840
23,7,836
23,7,842
23,7,835
23,7,834
23,7,828
23,7,832
23,7,825
23,7,828
23,7,840
23,7,833
23,7,837
23,7,839
23,7,840
23,7,840
23,7,833
23,7,832
23,7,836
23,7,836
23,7,839
23,7,838
23,7,841
23,7,844
23,7,831
23,7,832
23,7,825
23,7,828
23,7,829
23,7,837
23,7,837
23,7,834
23,7,835
23,7,830
23,7,838
23,7,841
23,7,843
23,7,843
23,7,832
23,7,837
23,7,844
23,7,841
23,7,835
23,7,837
23,7,832
23,7,833
23,7,836
23,7,839
23,7,837
23,7,837
23,7,836
23,7,842
23,7,840
23,7,837
23,7,838
23,7,843
23,7,837
23,7,839
23,7,837
23,7,828
23,7,829
23,7,832
23,7,833
23,7,837
23,7,837
23,7,835
23,7,838
23,7,836
23,7,838
23,7,838
23,7,870
23,7,837
23,7,839
23,7,841
23,7,839
23,7,834
23,7,837
23,7,837
23,7,834
23,7,831
23,7,830
23,7,839
23,7,836
23,7,835
23,7,837
23,7,835
23,7,840
23,7,837
23,7,837
23,7,844
23,7,844
23,7,838
23,7,873
23,7,835
23,7,837
23,7,832
23,7,833
23,7,835
23,7,837
23,7,839
23,7,832
23,7,840
23,7,836
23,7,834
23,7,835
23,7,835
23,7,834
23,7,840
23,7,833
23,7,836
23,7,839
23,7,842
23,7,839
23,7,832
23,7,831
23,7,826
23,7,833
23,7,832
23,7,829
23,7,830
23,7,832
23,7,837
23,7,836
23,7,870
23,7,837
23,7,837
23,7,839
23,7,839
23,7,839
23,7,834
23,7,834
23,7,836
23,7,834
23,7,836
23,7,830
23,7,834
23,7,829
23,7,834
23,7,826
23,7,836
23,7,833
23,7,836
23,7,839
23,7,835
23,7,830
23,7,832
23,7,840
23,7,834
23,7,827
23,7,831
23,7,837
23,7,834
23,7,840
23,7,833
23,7,829
23,7,836
23,7,873
23,7,829
23,7,831
23,7,839
23,7,837
23,7,831
23,7,839
23,7,840
23,7,835
23,7,838
23,7,838
23,7,831
23,7,834
23,7,832
23,7,832
23,7,835
23,7,827
23,7,837
23,7,838
23,7,833
23,7,836
23,7,833
23,7,833
23,7,837
23,7,833
23,7,840
23,7,837
23,7,835
23,7,832
23,7,840
23,7,836
23,7,834
23,7,832
23,7,837
23,7,836
23,7,839
23,7,832
23,7,839
23,7,842
23,7,835
23,7,833
23,7,834
23,7,837
23,7,835
23,7,845
23,7,837
23,7,846
23,7,839
23,7,841
23,7,837
23,7,831
23,7,838
23,7,834
23,7,835
23,7,837
23,7,832
23,7,840
23,7,825
23,7,844
23,7,836
23,7,832
23,7,833
23,7,841
23,7,835
23,7,836
23,7,838
23,7,837
23,7,832
23,7,839
23,7,844
23,7,836
23,7,834
23,7,831
23,7,834
23,7,832
23,7,841
23,7,833
23,7,838
23,7,838
23,7,835
23,7,838
23,7,836
23,7,834
23,7,831
23,7,832
23,7,833
23,7,834
23,7,839
23,7,834
23,7,834
23,7,836
23,7,835
23,7,834
23,7,832
23,7,835
23,7,834
23,7,838
23,7,837
23,7,837
23,7,828
23,7,837
23,7,841
23,7,837
23,7,832
23,7,839
23,7,834
23,7,832
23,7,834
23,7,833
23,7,837
23,7,837
23,7,837
23,7,841
23,7,835
23,7,838
23,7,835
23,7,832
23,7,837
23,7,837
23,7,837
23,7,834
23,7,838
23,7,828
23,7,832
23,7,836
23,7,872
23,7,835
23,7,837
23,7,833
23,7,831
23,7,875
23,7,836
23,7,832
23,7,831
23,7,833
23,7,832
23,7,838
23,7,837
23,7,832
23,7,838
23,7,832
23,7,839
23,7,834
23,7,834
23,7,838
23,7,831
23,7,839
23,7,837
23,7,835
23,7,835
23,7,836
23,7,829
23,7,842
23,7,834
23,7,840
23,7,829
23,7,837
23,7,872
23,7,837
23,7,831
23,7,845
23,7,829
23,7,836
23,7,839
23,7,840
23,7,835
23,7,875
23,7,831
23,7,828
23,7,837
23,7,837
23,7,832
23,7,837
23,7,839
23,7,839
23,7,839
23,7,836
23,7,837
23,7,837
23,7,840
23,7,828
23,7,832
23,7,834
23,7,838
23,7,833
23,7,842
23,7,834
23,7,831
23,7,835
23,7,834
23,7,833
23,7,839
23,7,834
23,7,835
23,7,834
23,7,834
23,7,835
23,7,837
23,7,836
23,7,833
23,7,831
23,7,834
23,7,838
23,7,838
23,7,836
23,7,837
23,7,839
23,7,837
23,7,842
23,7,836
23,7,838
23,7,837
23,7,834
23,7,837
23,7,832
23,7,841
23,7,835
23,7,837
23,7,834
23,7,838
23,7,835
23,7,831
23,7,839
23,7,836
23,7,835
23,7,834
23,7,836
23,7,838
23,7,838
23,7,839
23,7,834
23,7,834
23,7,839
23,7,840
23,7,837
23,7,835
23,7,838
23,7,834
23,7,832
23,7,834
23,7,838
23,7,833
23,7,835
23,7,833
23,7,835
23,7,836
23,7,840
23,7,840
23,7,839
23,7,829
23,7,828
23,7,836
23,7,837
23,7,842
23,7,841
23,7,842
23,7,837
23,7,836
23,7,837
23,7,834
23,7,837
23,7,837
23,7,837
23,7,839
23,7,837
23,7,839
23,7,837
23,7,836
23,7,835
23,7,832
23,7,832
23,7,837
23,7,837
23,7,841
23,7,837
23,7,836
23,7,834
23,7,834
23,7,837
23,7,835
23,7,838
23,7,831
23,7,835
23,7,834
23,7,837
23,7,835
23,7,835
23,7,832
23,7,837
23,7,839
23,7,835
23,7,834
23,7,839
23,7,839
23,7,834
23,7,833
23,7,838
23,7,835
23,7,836
23,7,835
23,7,838
23,7,837
23,7,835
23,7,832
23,7,836
23,7,835
23,7,837
23,7,837
23,7,838
23,7,842
23,7,833
23,7,835
23,7,840
23,7,836
23,7,835
23,7,839
23,7,841
23,7,837
23,7,836
23,7,833
23,7,831
23,7,833
23,7,833
23,7,834
23,7,838
23,7,840
23,7,838
23,7,838
23,7,833
23,7,838
23,7,832
23,7,835
23,7,839
23,7,834
23,7,835
23,7,835
23,7,836
23,7,836
23,7,834
23,7,835
23,7,837
23,7,837
23,7,834
23,7,839
23,7,838
23,7,836
23,7,835
23,7,838
23,7,837
23,7,830
23,7,839
23,7,830
23,7,840
23,7,838
23,7,836
23,7,837
23,7,835
23,7,834
23,7,831
23,7,837
23,7,834
23,7,837
23,7,833
23,7,839
23,7,834
23,7,837
23,7,836
23,7,835
23,7,832
23,7,835
23,7,837
23,7,833
23,7,832
23,7,836
23,7,837
23,7,836
23,7,832
23,7,834
23,7,835
23,7,834
23,7,835
23,7,832
23,7,836
23,7,834
23,7,841
23,7,837
23,7,836
23,7,834
23,7,838
23,7,834
23,7,835
23,7,833
23,7,839
23,7,835
23,7,833
23,7,841
23,7,833
23,7,836
23,7,833
23,7,835
23,7,838
23,7,837
23,7,835
23,7,835
23,7,839
23,7,833
23,7,834
23,7,832
