T4 (°C),d04 (cm),t04 (us)
23,6,804
23,6,806
23,6,806
23,6,802
23,6,802
23,6,809
23,6,807
23,6,809
23,6,802
23,6,805
23,6,804
23,6,807
23,6,803
23,6,804
23,6,805
23,6,806
23,6,801
23,6,807
23,6,804
23,6,805
23,6,806
23,6,800
23,6,804
23,6,840
23,6,804
23,6,803
23,6,802
23,6,801
23,6,801
23,6,814
23,6,805
23,6,816
23,6,807
23,6,804
23,6,802
23,6,806
23,6,801
23,6,801
23,6,807
23,6,799
23,6,810
23,6,810
23,6,845
23,6,845
23,6,808
23,6,799
23,6,799
23,6,805
23,6,810
23,6,799
23,6,801
23,6,799
23,6,805
23,6,807
23,6,799
23,6,804
23,6,794
23,6,802
23,6,798
23,6,800
23,6,808
23,6,809
23,6,808
23,6,800
23,6,802
23,6,799
23,6,802
23,6,800
23,6,799
23,6,809
23,6,803
23,6,804
23,6,800
23,6,803
23,6,800
23,6,801
23,6,806
23,6,800
23,6,808
23,6,803
23,6,805
23,6,799
23,6,803
23,6,802
23,6,804
23,6,804
23,6,806
23,6,803
23,6,807
23,6,807
23,6,802
23,6,806
23,6,803
23,6,801
23,6,805
23,6,804
23,6,807
23,6,805
23,6,802
23,6,805
23,6,807
23,6,803
23,6,802
23,6,804
23,6,801
23,6,806
23,6,804
23,6,809
23,6,802
23,6,805
23,6,802
23,6,808
23,6,797
23,6,804
23,6,808
23,6,802
23,6,803
23,6,798
23,6,806
23,6,805
23,6,800
23,6,797
23,6,806
23,6,810
23,6,805
23,6,807
23,6,802
23,6,806
23,6,802
23,6,808
23,6,808
23,6,801
23,6,804
23,6,801
23,6,803
23,6,805
23,6,811
23,6,806
23,6,799
23,6,806
23,6,805
23,6,805
23,6,803
23,6,802
23,6,800
23,6,806
23,6,807
23,6,803
23,6,806
23,6,810
23,6,804
23,6,805
23,6,804
23,6,801
23,6,805
23,6,807
23,6,804
23,6,803
23,6,804
23,6,803
23,6,799
23,6,808
23,6,800
23,6,804
23,6,800
23,6,803
23,6,805
23,6,800
23,6,808
23,6,802
23,6,810
23,6,803
23,6,802
23,6,809
23,6,802
23,6,803
23,6,801
23,6,809
23,6,800
23,6,805
23,6,807
23,6,801
23,6,802
23,6,804
23,6,807
23,6,799
23,6,799
23,6,805
23,6,804
23,6,800
23,6,807
